Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Ingar Malvang	DEMN	1	Female	Norsk		1954	Yes	Oslo	0301	Oslo
Ann-Katrin Vemer Krogh	DEMN	2	Female	Norsk		1962	Yes	Oslo	0301	Oslo
Odd Sætre	DEMN	3	Male	Norsk		1949	Yes	Oslo	0301	Oslo
Laila Katnosa	DEMN	4	Female	Norsk		1960	Yes	Oslo	0301	Oslo
Kåre Eriksen	DEMN	5	Male	Norsk		1938	Yes	Oslo	0301	Oslo
Ragnhild Heitmann Kaas	DEMN	6	Female	Norsk		1945	Yes	Oslo	0301	Oslo
Ingmar Tveitt	DEMN	7	Male	Norsk		1976	Yes	Oslo	0301	Oslo
Linda Øvrum	DEMN	8	Female	Norsk		1984	Yes	Oslo	0301	Oslo
Jack A. Martinussen	DEMN	9	Male	Norsk		1947	Yes	Oslo	0301	Oslo
Svein Arne Nordølum	DEMN	10	Male	Norsk		1968	Yes	Oslo	0301	Oslo
Agnar Blom	DEMN	11	Male	Norsk		1953	Yes	Oslo	0301	Oslo
Janicke Knudtzon	DEMN	12	Female	Norsk		1951	Yes	Oslo	0301	Oslo
Johan Ludvig Nistad	DEMN	13	Male	Norsk		1945	Yes	Oslo	0301	Oslo
Rogerio Snarli	DEMN	14	Male	Non	Spanish	1983	Yes	Oslo	0301	Oslo
Aage Johan Sundvor	DEMN	15	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Frank Eugen Edvardsen	DEMN	16	Male	Norsk		1975	Yes	Oslo	0301	Oslo
Tian Riseng	DEMN	17	Male	Non	Chinese	1976	Yes	Oslo	0301	Oslo
Petter Kaas	DEMN	18	Male	Norsk		1936	Yes	Oslo	0301	Oslo
Kim Elvegård	DEMN	19	Female	Norsk		1956	Yes	Oslo	0301	Oslo
Stian Andreassen	DEMN	20	Male	Norsk		1982	Yes	Oslo	0301	Oslo
Mette Bjerkelien	DEMN	21	Female	Norsk		1964	Yes	Oslo	0301	Oslo
Gunnar Danielsen	DEMN	22	Male	Norsk		1926	Yes	Oslo	0301	Oslo
Kari Reistadbakk	DEMN	23	Female	Norsk		1983	Yes	Oslo	0301	Oslo
Kjetil Aalerud	DEMN	24	Male	Norsk		1961	Yes	Oslo	0301	Oslo
Vårunn Fossheim Westin	DEMN	25	Female	Norsk		1955	Yes	Oslo	0301	Oslo
Even Birkedal	DEMN	26	Male	Norsk		1980	Yes	Oslo	0301	Oslo
Ove Reidulff	DEMN	27	Male	Norsk		1924	Yes	Oslo	0301	Oslo
Øyvind Andreas Meland	DEMN	28	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Vidar Bysheim	DEMN	29	Male	Norsk		1962	Yes	Oslo	0301	Oslo
Jan Aage Hansen	DEMN	30	Male	Norsk		1932	Yes	Oslo	0301	Oslo
Per Andre Deberitz	DEMN	31	Male	Norsk		1971	Yes	Oslo	0301	Oslo
Stig Granum	DEMN	32	Male	Norsk		1976	Yes	Oslo	0301	Oslo
Willy Wiesner	DEMN	33	Male	Norsk		1979	Yes	Oslo	0301	Oslo
Jan Øystein Jahnsen	DEMN	34	Male	Norsk		1943	Yes	Oslo	0301	Oslo
Sølve Seim	DEMN	35	Male	Norsk		1952	Yes	Oslo	0301	Oslo
Arvid Arnold Austad	DEMN	36	Male	Norsk		1919	Yes	Oslo	0301	Oslo
Ulf Ragnar Moen	DEMN	37	Male	Norsk		1953	Yes	Oslo	0301	Oslo
Per Leinad	DEMN	38	Male	Norsk		1960	Yes	Oslo	0301	Oslo
Lars Astrup	DEMN	39	Male	Norsk		1959	Yes	Oslo	0301	Oslo
Morten Arne Sand	DEMN	40	Male	Norsk		1961	Yes	Oslo	0301	Oslo
Bjarne Mork	DEMN	41	Male	Norsk		1936	Yes	Oslo	0301	Oslo
Petter Ødegaard	DEMN	42	Male	Norsk		1973	Yes	Oslo	0301	Oslo
Morten Daland	DEMN	43	Male	Norsk		1957	Yes	Oslo	0301	Oslo
Oddvar Aall Larsen	DEMN	44	Male	Norsk		1920	Yes	Oslo	0301	Oslo
Bjørn Helge Loe	DEMN	45	Male	Norsk		1964	Yes	Oslo	0301	Oslo
Terje Granli	DEMN	46	Male	Norsk		1973	Yes	Oslo	0301	Oslo
Per Steffen Borg	DEMN	47	Male	Norsk		1961	Yes	Oslo	0301	Oslo
Kai Christoffersen	DEMN	48	Male	Norsk		1973	Yes	Oslo	0301	Oslo
Kenneth Christensen	DEMN	49	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Tom Thorkildsen	DEMN	50	Male	Norsk		1943	Yes	Oslo	0301	Oslo
Kristian August Moen	DEMN	51	Male	Norsk		1922	Yes	Oslo	0301	Oslo
Bjarne Kristian Widsteen	DEMN	52	Male	Norsk		1943	Yes	Oslo	0301	Oslo
Kurt Ødegård	DEMN	53	Male	Norsk		1944	Yes	Oslo	0301	Oslo
Christen Krogvig	DEMN	54	Male	Norsk		1969	Yes	Oslo	0301	Oslo
Sveinung Legard	DEMN	55	Female	Norsk		1978	No	Oslo	0301	Oslo
Camilla Pedersen	DEMN	56	Female	Norsk		1981	No	Oslo	0301	Oslo
Kim Næss	DEMN	57	Female	Norsk		1986	No	Oslo	0301	Oslo
Anett Andreassen	DEMN	58	Female	Norsk		1978	No	Oslo	0301	Oslo
Kjetil Braut Simonsen	DEMN	59	Male	Norsk		1981	No	Oslo	0301	Oslo
Peter André Kristoffersen	DEMN	60	Male	Norsk		1974	No	Oslo	0301	Oslo
Terje Kortner	DEMN	61	Male	Norsk		1980	No	Oslo	0301	Oslo
Vegard Martinsen	DLF	1	Male	Norsk		1955	No	Oslo	0301	Oslo
Tore Aabø	DLF	2	Male	Norsk		1973	No	Oslo	0301	Oslo
Ole Martin Moen	DLF	3	Male	Norsk		1985	No	Oslo	0301	Oslo
Martin Johansen	DLF	4	Male	Norsk		1984	No	Oslo	0301	Oslo
Thomas M. Johanson	DLF	5	Male	Norsk		1978	No	Oslo	0301	Oslo
Raymond Thorsen	DLF	6	Male	Norsk		1976	No	Oslo	0301	Oslo
Inger Lazzeri	DLF	7	Female	Norsk		1934	No	Oslo	0301	Oslo
Knut Mønnesland	DLF	8	Male	Norsk		1939	No	Oslo	0301	Oslo
Jarle Brunsell	DLF	9	Male	Norsk		1965	No	Oslo	0301	Oslo
Børge Svanstrøm Amundsen	DLF	10	Male	Norsk		1971	No	Oslo	0301	Oslo
Ken-Gjøran Johansen	DLF	11	Male	Norsk		1977	No	Oslo	0301	Oslo
Merethe Reklev	DLF	12	Female	Norsk		1951	No	Oslo	0301	Oslo
Gunnar Moen Salberg	DLF	13	Male	Norsk		1938	No	Oslo	0301	Oslo
Rune Gerhardsen	AP	1	Male	Norsk		1946	Yes	Oslo	0301	Oslo
Nina Bachke	AP	2	Female	Norsk		1974	Yes	Oslo	0301	Oslo
Trond Jensrud	AP	3	Male	Norsk		1968	Yes	Oslo	0301	Oslo
Karima Abd-Daif	AP	4	Female	Norsk		1965	Yes	Oslo	0301	Oslo
Eirik Brunvatne Thommessen	AP	5	Male	Norsk		1984	Yes	Oslo	0301	Oslo
Rina Mariann Hansen	AP	6	Female	Norsk		1977	Yes	Oslo	0301	Oslo
Bjørn A. Lundberg	AP	7	Male	Norsk		1942	Yes	Oslo	0301	Oslo
Tone Tellevik Dahl	AP	8	Male	Norsk		1970	Yes	Oslo	0301	Oslo
Khalid Mahmood	AP	9	Male	Norsk		1959	Yes	Oslo	0301	Oslo
Janne Svegården	AP	10	Female	Norsk		1957	Yes	Oslo	0301	Oslo
Andreas Halse	AP	11	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Ingrid Eide	AP	12	Female	Norsk		1933	Yes	Oslo	0301	Oslo
Håkon Haugli	AP	13	Male	Norsk		1969	Yes	Oslo	0301	Oslo
Rupinder Kaur Bains	AP	14	Female	Non	Indian	1961	Yes	Oslo	0301	Oslo
